seed,rounds,samples,mean,stdev,min,max
1,2,2000,0.0151,0.0346,0.0000,0.1523
1,4,2000,0.0848,0.1246,0.0000,0.4258
1,8,2000,0.3272,0.1832,0.0078,0.6133
1,16,2000,0.4988,0.0311,0.3984,0.6016
1,32,2000,0.4992,0.0306,0.4023,0.5977
2,2,2000,0.0148,0.0337,0.0000,0.1562
2,4,2000,0.0856,0.1246,0.0000,0.4414
2,8,2000,0.3277,0.1848,0.0078,0.5898
2,16,2000,0.5002,0.0306,0.4102,0.5898
2,32,2000,0.4997,0.0314,0.4023,0.6016
3,2,2000,0.0136,0.0325,0.0000,0.1602
3,4,2000,0.0810,0.1208,0.0000,0.4297
3,8,2000,0.3175,0.1872,0.0078,0.5938
3,16,2000,0.5011,0.0311,0.4023,0.6016
3,32,2000,0.4997,0.0317,0.3867,0.6055
4,2,2000,0.0128,0.0319,0.0000,0.1719
4,4,2000,0.0791,0.1181,0.0000,0.4258
4,8,2000,0.3249,0.1826,0.0078,0.5938
4,16,2000,0.4999,0.0319,0.3633,0.6016
4,32,2000,0.5005,0.0303,0.3789,0.6133
5,2,2000,0.0144,0.0328,0.0000,0.1484
5,4,2000,0.0863,0.1224,0.0000,0.4492
5,8,2000,0.3321,0.1827,0.0078,0.5859
5,16,2000,0.5006,0.0309,0.3750,0.6133
5,32,2000,0.5003,0.0310,0.4102,0.5938
