experiment,seed,rounds,samples,epochs,random_guess_baseline,majority_baseline,train_accuracy,test_accuracy,test_accuracy_minus_baseline,train_test_gap
distinguish,1,2,1000,8,0.5000,0.5225,1.0000,1.0000,0.5000,0.0000
distinguish,1,4,1000,8,0.5000,0.5225,0.6175,0.4975,-0.0025,0.1200
distinguish,1,8,1000,8,0.5000,0.5225,0.5919,0.4925,-0.0075,0.0994
distinguish,1,16,1000,8,0.5000,0.5225,0.6100,0.4900,-0.0100,0.1200
distinguish,2,2,1000,8,0.5000,0.5175,1.0000,0.9975,0.4975,0.0025
distinguish,2,4,1000,8,0.5000,0.5175,0.5931,0.5150,0.0150,0.0781
distinguish,2,8,1000,8,0.5000,0.5175,0.5969,0.4875,-0.0125,0.1094
distinguish,2,16,1000,8,0.5000,0.5175,0.5819,0.5075,0.0075,0.0744
distinguish,3,2,1000,8,0.5000,0.5150,1.0000,0.9975,0.4975,0.0025
distinguish,3,4,1000,8,0.5000,0.5150,0.5913,0.5350,0.0350,0.0563
distinguish,3,8,1000,8,0.5000,0.5150,0.5787,0.4775,-0.0225,0.1013
distinguish,3,16,1000,8,0.5000,0.5150,0.5900,0.4975,-0.0025,0.0925
distinguish,4,2,1000,8,0.5000,0.5050,1.0000,0.9975,0.4975,0.0025
distinguish,4,4,1000,8,0.5000,0.5050,0.6244,0.4575,-0.0425,0.1669
distinguish,4,8,1000,8,0.5000,0.5050,0.5919,0.5375,0.0375,0.0544
distinguish,4,16,1000,8,0.5000,0.5050,0.5869,0.4325,-0.0675,0.1544
distinguish,5,2,1000,8,0.5000,0.5025,1.0000,0.9950,0.4950,0.0050
distinguish,5,4,1000,8,0.5000,0.5025,0.6006,0.5175,0.0175,0.0831
distinguish,5,8,1000,8,0.5000,0.5025,0.5956,0.5325,0.0325,0.0631
distinguish,5,16,1000,8,0.5000,0.5025,0.5925,0.5100,0.0100,0.0825
