rounds,avalanche_seeds,avalanche_samples_per_seed,avalanche_mean,avalanche_baseline_delta,avalanche_stdev_of_means,bit_min_flip_rate,bit_max_flip_rate,bit_max_abs_delta_from_baseline,bit_holm_reject_count,distinguisher_seeds,distinguisher_samples_per_seed,distinguisher_epochs,distinguisher_mean_train_accuracy,distinguisher_mean_test_accuracy,distinguisher_test_accuracy_minus_baseline,distinguisher_stdev_test_accuracy_minus_baseline,distinguisher_available
2,5,2000,0.0142,-0.485800,0.0009,0.000000,0.062200,0.500000,256,5,1000,8,1.0000,0.9975,0.4975,0.0016,True
4,5,2000,0.0834,-0.416600,0.0028,0.003300,0.187200,0.496700,256,5,1000,8,0.6054,0.5045,0.0045,0.0263,True
8,5,2000,0.3259,-0.174100,0.0048,0.204900,0.442400,0.295100,256,5,1000,8,0.5910,0.5055,0.0055,0.0246,True
9,5,2000,0.386652,-0.113348,0.003911,0.266400,0.498800,0.233600,234,,,,,,,,False
10,5,2000,0.437913,-0.062087,0.002321,0.328400,0.513200,0.171600,167,,,,,,,,False
11,5,2000,0.473403,-0.026597,0.001123,0.396800,0.511400,0.103200,97,,,,,,,,False
12,5,2000,0.493620,-0.006380,0.000435,0.454000,0.514300,0.046000,35,,,,,,,,False
13,5,2000,0.499301,-0.000699,0.000731,0.478400,0.515000,0.021600,1,,,,,,,,False
14,5,2000,0.499936,-0.000064,0.000168,0.485000,0.512600,0.015000,0,,,,,,,,False
15,5,2000,0.499847,-0.000153,0.000735,0.486500,0.514600,0.014600,0,,,,,,,,False
16,5,2000,0.5001,0.000100,0.0008,0.487900,0.512100,0.012100,0,5,1000,8,0.5923,0.4875,-0.0125,0.0284,True
32,5,2000,0.4999,-0.000100,0.0005,0.483400,0.516400,0.016600,0,,,,,,,,False
