seed,rounds,samples,mean,stdev,min,max,baseline_delta
1,9,2000,0.387916,0.146469,0.050781,0.593750,-0.112084
1,10,2000,0.438510,0.100900,0.148438,0.597656,-0.061490
1,11,2000,0.473592,0.060638,0.265625,0.597656,-0.026408
1,12,2000,0.493795,0.035267,0.355469,0.605469,-0.006205
1,13,2000,0.500133,0.031396,0.394531,0.605469,0.000133
1,14,2000,0.499871,0.030981,0.378906,0.597656,-0.000129
1,15,2000,0.498756,0.031052,0.394531,0.609375,-0.001244
2,9,2000,0.388791,0.150920,0.046875,0.613281,-0.111209
2,10,2000,0.438332,0.104366,0.140625,0.593750,-0.061668
2,11,2000,0.474334,0.061657,0.273438,0.601562,-0.025666
2,12,2000,0.494291,0.035419,0.339844,0.601562,-0.005709
2,13,2000,0.500178,0.031292,0.382812,0.617188,0.000178
2,14,2000,0.499670,0.030693,0.390625,0.605469,-0.000330
2,15,2000,0.499689,0.031214,0.402344,0.605469,-0.000311
3,9,2000,0.379207,0.149769,0.054688,0.593750,-0.120793
3,10,2000,0.433549,0.104002,0.144531,0.593750,-0.066451
3,11,2000,0.471207,0.061459,0.265625,0.589844,-0.028793
3,12,2000,0.493154,0.034995,0.363281,0.605469,-0.006846
3,13,2000,0.498945,0.033103,0.394531,0.617188,-0.001055
3,14,2000,0.500107,0.031613,0.390625,0.605469,0.000107
3,15,2000,0.500557,0.031526,0.382812,0.613281,0.000557
4,9,2000,0.386844,0.146662,0.046875,0.582031,-0.113156
4,10,2000,0.438652,0.102310,0.140625,0.597656,-0.061348
4,11,2000,0.473967,0.059587,0.261719,0.601562,-0.026033
4,12,2000,0.493133,0.035346,0.359375,0.613281,-0.006867
4,13,2000,0.498332,0.030827,0.394531,0.621094,-0.001668
4,14,2000,0.500127,0.031086,0.398438,0.621094,0.000127
4,15,2000,0.499467,0.031652,0.386719,0.601562,-0.000533
5,9,2000,0.390504,0.146296,0.054688,0.593750,-0.109496
5,10,2000,0.440521,0.101833,0.148438,0.601562,-0.059479
5,11,2000,0.473914,0.059268,0.250000,0.601562,-0.026086
5,12,2000,0.493729,0.034666,0.375000,0.601562,-0.006271
5,13,2000,0.498918,0.031289,0.367188,0.601562,-0.001082
5,14,2000,0.499904,0.031129,0.386719,0.613281,-0.000096
5,15,2000,0.500764,0.031862,0.406250,0.605469,0.000764
