rounds,seeds,samples_per_seed,epochs,mean_train_accuracy,mean_test_accuracy,mean_test_accuracy_minus_baseline,stdev_test_accuracy_minus_baseline,min_test_accuracy_minus_baseline,max_test_accuracy_minus_baseline,mean_train_test_gap
2,5,500,4,1.0000,0.9720,0.4720,0.0098,0.4550,0.4850,0.0280
4,5,500,4,0.6718,0.4890,-0.0110,0.0460,-0.0750,0.0650,0.1828
8,5,500,4,0.6775,0.4840,-0.0160,0.0322,-0.0500,0.0450,0.1935
16,5,500,4,0.6945,0.4950,-0.0050,0.0212,-0.0350,0.0300,0.1995
2,5,500,8,1.0000,0.9750,0.4750,0.0084,0.4600,0.4850,0.0250
4,5,500,8,0.6860,0.5010,0.0010,0.0309,-0.0450,0.0400,0.1850
8,5,500,8,0.6887,0.5000,0.0000,0.0330,-0.0500,0.0500,0.1887
16,5,500,8,0.6985,0.4950,-0.0050,0.0126,-0.0250,0.0050,0.2035
2,5,500,16,1.0000,0.9760,0.4760,0.0086,0.4600,0.4850,0.0240
4,5,500,16,0.6880,0.5110,0.0110,0.0338,-0.0400,0.0500,0.1770
8,5,500,16,0.6752,0.4930,-0.0070,0.0326,-0.0350,0.0550,0.1822
16,5,500,16,0.7088,0.4940,-0.0060,0.0271,-0.0350,0.0400,0.2148
2,5,1000,4,1.0000,0.9965,0.4965,0.0025,0.4925,0.5000,0.0035
4,5,1000,4,0.6031,0.4960,-0.0040,0.0117,-0.0250,0.0075,0.1071
8,5,1000,4,0.5898,0.5045,0.0045,0.0292,-0.0375,0.0375,0.0853
16,5,1000,4,0.5886,0.4900,-0.0100,0.0200,-0.0475,0.0075,0.0986
2,5,1000,8,1.0000,0.9975,0.4975,0.0016,0.4950,0.5000,0.0025
4,5,1000,8,0.6054,0.5045,0.0045,0.0263,-0.0425,0.0350,0.1009
8,5,1000,8,0.5910,0.5055,0.0055,0.0246,-0.0225,0.0375,0.0855
16,5,1000,8,0.5923,0.4875,-0.0125,0.0284,-0.0675,0.0100,0.1048
2,5,1000,16,1.0000,0.9980,0.4980,0.0010,0.4975,0.5000,0.0020
4,5,1000,16,0.6056,0.5025,0.0025,0.0334,-0.0300,0.0600,0.1031
8,5,1000,16,0.5974,0.4990,-0.0010,0.0154,-0.0200,0.0200,0.0984
16,5,1000,16,0.5936,0.4900,-0.0100,0.0087,-0.0225,0.0000,0.1036
2,5,2000,4,1.0000,0.9995,0.4995,0.0010,0.4975,0.5000,0.0005
4,5,2000,4,0.5435,0.4960,-0.0040,0.0157,-0.0250,0.0238,0.0474
8,5,2000,4,0.5412,0.5007,0.0007,0.0203,-0.0300,0.0262,0.0405
16,5,2000,4,0.5551,0.4935,-0.0065,0.0163,-0.0300,0.0212,0.0616
2,5,2000,8,1.0000,0.9995,0.4995,0.0010,0.4975,0.5000,0.0005
4,5,2000,8,0.5475,0.5007,0.0007,0.0140,-0.0200,0.0162,0.0467
8,5,2000,8,0.5447,0.5013,0.0013,0.0181,-0.0312,0.0200,0.0435
16,5,2000,8,0.5543,0.4882,-0.0118,0.0209,-0.0363,0.0162,0.0660
2,5,2000,16,1.0000,1.0000,0.5000,0.0000,0.5000,0.5000,0.0000
4,5,2000,16,0.5462,0.5028,0.0028,0.0116,-0.0137,0.0150,0.0434
8,5,2000,16,0.5454,0.5048,0.0048,0.0210,-0.0212,0.0275,0.0406
16,5,2000,16,0.5508,0.4990,-0.0010,0.0126,-0.0112,0.0212,0.0518
