rounds,samples,epochs,seed_count,baseline_delta,mean_test_accuracy_minus_baseline,min_test_accuracy_minus_baseline,max_test_accuracy_minus_baseline,mean_abs_test_accuracy_minus_baseline,ci_level,ci_method,bootstrap_iterations,bootstrap_seed,ci_low,ci_high,ci_contains_zero
4,500,4,5,0.000000,-0.011000,-0.075000,0.065000,0.037000,0.950000,seed_mean_percentile_bootstrap,10000,20261020,-0.051000,0.032000,True
4,500,8,5,0.000000,0.001000,-0.045000,0.040000,0.027000,0.950000,seed_mean_percentile_bootstrap,10000,20261024,-0.027000,0.027000,True
4,500,16,5,0.000000,0.011000,-0.040000,0.050000,0.033000,0.950000,seed_mean_percentile_bootstrap,10000,20261032,-0.020000,0.040000,True
4,1000,4,5,0.000000,-0.004000,-0.025000,0.007500,0.009000,0.950000,seed_mean_percentile_bootstrap,10000,20261520,-0.015000,0.005000,True
4,1000,8,5,0.000000,0.004500,-0.042500,0.035000,0.022500,0.950000,seed_mean_percentile_bootstrap,10000,20261524,-0.019000,0.024000,True
4,1000,16,5,0.000000,0.002500,-0.030000,0.060000,0.029500,0.950000,seed_mean_percentile_bootstrap,10000,20261532,-0.023500,0.036000,True
4,2000,4,5,0.000000,-0.003980,-0.025000,0.023800,0.013500,0.950000,seed_mean_percentile_bootstrap,10000,20262520,-0.017240,0.011540,True
4,2000,8,5,0.000000,0.000740,-0.020000,0.016200,0.013220,0.950000,seed_mean_percentile_bootstrap,10000,20262524,-0.011740,0.012720,True
4,2000,16,5,0.000000,0.002760,-0.013700,0.015000,0.011720,0.950000,seed_mean_percentile_bootstrap,10000,20262532,-0.007720,0.012480,True
8,500,4,5,0.000000,-0.016000,-0.050000,0.045000,0.034000,0.950000,seed_mean_percentile_bootstrap,10000,20261024,-0.039000,0.016000,True
8,500,8,5,0.000000,0.000000,-0.050000,0.050000,0.026000,0.950000,seed_mean_percentile_bootstrap,10000,20261028,-0.029000,0.030000,True
8,500,16,5,0.000000,-0.007000,-0.035000,0.055000,0.029000,0.950000,seed_mean_percentile_bootstrap,10000,20261036,-0.030000,0.025000,True
8,1000,4,5,0.000000,0.004500,-0.037500,0.037500,0.027500,0.950000,seed_mean_percentile_bootstrap,10000,20261524,-0.021000,0.030000,True
8,1000,8,5,0.000000,0.005500,-0.022500,0.037500,0.022500,0.950000,seed_mean_percentile_bootstrap,10000,20261528,-0.015500,0.026500,True
8,1000,16,5,0.000000,-0.001000,-0.020000,0.020000,0.014000,0.950000,seed_mean_percentile_bootstrap,10000,20261536,-0.014000,0.012000,True
8,2000,4,5,0.000000,0.000740,-0.030000,0.026200,0.018220,0.950000,seed_mean_percentile_bootstrap,10000,20262524,-0.017500,0.017960,True
8,2000,8,5,0.000000,0.001260,-0.031200,0.020000,0.014220,0.950000,seed_mean_percentile_bootstrap,10000,20262528,-0.015720,0.015000,True
8,2000,16,5,0.000000,0.004760,-0.021200,0.027500,0.021240,0.950000,seed_mean_percentile_bootstrap,10000,20262536,-0.012980,0.022500,True
16,500,4,5,0.000000,-0.005000,-0.035000,0.030000,0.017000,0.950000,seed_mean_percentile_bootstrap,10000,20261032,-0.023000,0.014000,True
16,500,8,5,0.000000,-0.005000,-0.025000,0.005000,0.011000,0.950000,seed_mean_percentile_bootstrap,10000,20261036,-0.017000,0.005000,True
16,500,16,5,0.000000,-0.006000,-0.035000,0.040000,0.024000,0.950000,seed_mean_percentile_bootstrap,10000,20261044,-0.027000,0.019000,True
16,1000,4,5,0.000000,-0.010000,-0.047500,0.007500,0.015000,0.950000,seed_mean_percentile_bootstrap,10000,20261532,-0.029500,0.004500,True
16,1000,8,5,0.000000,-0.012500,-0.067500,0.010000,0.019500,0.950000,seed_mean_percentile_bootstrap,10000,20261536,-0.041000,0.006500,True
16,1000,16,5,0.000000,-0.010000,-0.022500,0.000000,0.010000,0.950000,seed_mean_percentile_bootstrap,10000,20261544,-0.017500,-0.002500,False
16,2000,4,5,0.000000,-0.006500,-0.030000,0.021200,0.014980,0.950000,seed_mean_percentile_bootstrap,10000,20262532,-0.020740,0.009220,True
16,2000,8,5,0.000000,-0.011780,-0.036300,0.016200,0.020740,0.950000,seed_mean_percentile_bootstrap,10000,20262536,-0.030280,0.006720,True
16,2000,16,5,0.000000,-0.001000,-0.011200,0.021200,0.011480,0.950000,seed_mean_percentile_bootstrap,10000,20262544,-0.010480,0.011480,True
