rounds,seed,samples,epochs,test_accuracy,test_accuracy_minus_baseline,train_test_gap
4,1,500,4,0.425000,-0.075000,0.228800
4,2,500,4,0.490000,-0.010000,0.177500
4,3,500,4,0.565000,0.065000,0.120000
4,4,500,4,0.465000,-0.035000,0.200000
4,5,500,4,0.500000,0.000000,0.187500
4,1,500,8,0.455000,-0.045000,0.207500
4,2,500,8,0.495000,-0.005000,0.191300
4,3,500,8,0.540000,0.040000,0.150000
4,4,500,8,0.485000,-0.015000,0.201300
4,5,500,8,0.530000,0.030000,0.175000
4,1,500,16,0.460000,-0.040000,0.217500
4,2,500,16,0.485000,-0.015000,0.198700
4,3,500,16,0.540000,0.040000,0.153700
4,4,500,16,0.520000,0.020000,0.161300
4,5,500,16,0.550000,0.050000,0.153700
4,1,1000,4,0.492500,-0.007500,0.131900
4,2,1000,4,0.500000,0.000000,0.085600
4,3,1000,4,0.507500,0.007500,0.082500
4,4,1000,4,0.475000,-0.025000,0.141200
4,5,1000,4,0.505000,0.005000,0.094400
4,1,1000,8,0.497500,-0.002500,0.120000
4,2,1000,8,0.515000,0.015000,0.078100
4,3,1000,8,0.535000,0.035000,0.056300
4,4,1000,8,0.457500,-0.042500,0.166900
4,5,1000,8,0.517500,0.017500,0.083100
4,1,1000,16,0.470000,-0.030000,0.154400
4,2,1000,16,0.520000,0.020000,0.063100
4,3,1000,16,0.482500,-0.017500,0.110000
4,4,1000,16,0.480000,-0.020000,0.147500
4,5,1000,16,0.560000,0.060000,0.040600
4,1,2000,4,0.523800,0.023800,0.018100
4,2,2000,4,0.493800,-0.006200,0.052800
4,3,2000,4,0.492500,-0.007500,0.051600
4,4,2000,4,0.495000,-0.005000,0.046900
4,5,2000,4,0.475000,-0.025000,0.067800
4,1,2000,8,0.516200,0.016200,0.035900
4,2,2000,8,0.506200,0.006200,0.041600
4,3,2000,8,0.512500,0.012500,0.033800
4,4,2000,8,0.488800,-0.011200,0.067800
4,5,2000,8,0.480000,-0.020000,0.054400
4,1,2000,16,0.510000,0.010000,0.035900
4,2,2000,16,0.515000,0.015000,0.036600
4,3,2000,16,0.511200,0.011200,0.032500
4,4,2000,16,0.491300,-0.008700,0.058400
4,5,2000,16,0.486300,-0.013700,0.053800
8,1,500,4,0.450000,-0.050000,0.255000
8,2,500,4,0.545000,0.045000,0.118700
8,3,500,4,0.475000,-0.025000,0.201300
8,4,500,4,0.480000,-0.020000,0.182500
8,5,500,4,0.470000,-0.030000,0.210000
8,1,500,8,0.500000,0.000000,0.212500
8,2,500,8,0.550000,0.050000,0.132500
8,3,500,8,0.450000,-0.050000,0.228700
8,4,500,8,0.515000,0.015000,0.168700
8,5,500,8,0.485000,-0.015000,0.201300
8,1,500,16,0.465000,-0.035000,0.232500
8,2,500,16,0.555000,0.055000,0.108700
8,3,500,16,0.470000,-0.030000,0.200000
8,4,500,16,0.495000,-0.005000,0.170000
8,5,500,16,0.480000,-0.020000,0.200000
8,1,1000,4,0.537500,0.037500,0.061900
8,2,1000,4,0.480000,-0.020000,0.104400
8,3,1000,4,0.462500,-0.037500,0.118100
8,4,1000,4,0.510000,0.010000,0.083100
8,5,1000,4,0.532500,0.032500,0.058800
8,1,1000,8,0.492500,-0.007500,0.099400
8,2,1000,8,0.487500,-0.012500,0.109400
8,3,1000,8,0.477500,-0.022500,0.101300
8,4,1000,8,0.537500,0.037500,0.054400
8,5,1000,8,0.532500,0.032500,0.063100
8,1,1000,16,0.505000,0.005000,0.091900
8,2,1000,16,0.507500,0.007500,0.094400
8,3,1000,16,0.480000,-0.020000,0.113800
8,4,1000,16,0.482500,-0.017500,0.103100
8,5,1000,16,0.520000,0.020000,0.088700
8,1,2000,4,0.516200,0.016200,0.035300
8,2,2000,4,0.470000,-0.030000,0.073100
8,3,2000,4,0.526200,0.026200,0.019700
8,4,2000,4,0.486300,-0.013700,0.041600
8,5,2000,4,0.505000,0.005000,0.032800
8,1,2000,8,0.520000,0.020000,0.026200
8,2,2000,8,0.468800,-0.031200,0.084700
8,3,2000,8,0.516200,0.016200,0.027200
8,4,2000,8,0.502500,0.002500,0.028100
8,5,2000,8,0.498800,-0.001200,0.051300
8,1,2000,16,0.520000,0.020000,0.024100
8,2,2000,16,0.480000,-0.020000,0.075300
8,3,2000,16,0.527500,0.027500,0.014100
8,4,2000,16,0.478800,-0.021200,0.061300
8,5,2000,16,0.517500,0.017500,0.028400
16,1,500,4,0.500000,0.000000,0.220000
16,2,500,4,0.485000,-0.015000,0.193700
16,3,500,4,0.495000,-0.005000,0.210000
16,4,500,4,0.530000,0.030000,0.135000
16,5,500,4,0.465000,-0.035000,0.238700
16,1,500,8,0.505000,0.005000,0.206300
16,2,500,8,0.505000,0.005000,0.181300
16,3,500,8,0.505000,0.005000,0.221200
16,4,500,8,0.485000,-0.015000,0.191300
16,5,500,8,0.475000,-0.025000,0.217500
16,1,500,16,0.465000,-0.035000,0.260000
16,2,500,16,0.505000,0.005000,0.193700
16,3,500,16,0.490000,-0.010000,0.228800
16,4,500,16,0.540000,0.040000,0.137500
16,5,500,16,0.470000,-0.030000,0.253800
16,1,1000,4,0.497500,-0.002500,0.115600
16,2,1000,4,0.487500,-0.012500,0.090600
16,3,1000,4,0.505000,0.005000,0.083100
16,4,1000,4,0.452500,-0.047500,0.127500
16,5,1000,4,0.507500,0.007500,0.076300
16,1,1000,8,0.490000,-0.010000,0.120000
16,2,1000,8,0.507500,0.007500,0.074400
16,3,1000,8,0.497500,-0.002500,0.092500
16,4,1000,8,0.432500,-0.067500,0.154400
16,5,1000,8,0.510000,0.010000,0.082500
16,1,1000,16,0.492500,-0.007500,0.121900
16,2,1000,16,0.477500,-0.022500,0.108100
16,3,1000,16,0.497500,-0.002500,0.106300
16,4,1000,16,0.482500,-0.017500,0.095600
16,5,1000,16,0.500000,0.000000,0.086300
16,1,2000,4,0.490000,-0.010000,0.063700
16,2,2000,4,0.470000,-0.030000,0.088100
16,3,2000,4,0.521200,0.021200,0.035000
16,4,2000,4,0.492500,-0.007500,0.061200
16,5,2000,4,0.493800,-0.006200,0.060000
16,1,2000,8,0.488800,-0.011200,0.065600
16,2,2000,8,0.466200,-0.033800,0.090300
16,3,2000,8,0.516200,0.016200,0.028400
16,4,2000,8,0.463700,-0.036300,0.095900
16,5,2000,8,0.506200,0.006200,0.049700
16,1,2000,16,0.490000,-0.010000,0.059700
16,2,2000,16,0.490000,-0.010000,0.069100
16,3,2000,16,0.521200,0.021200,0.021600
16,4,2000,16,0.488800,-0.011200,0.062800
16,5,2000,16,0.505000,0.005000,0.045600
